iter	Passed	Remaining
159	360	1892
160	361	1882
161	362	1873
162	363	1864
163	363	1855
164	364	1846
165	365	1837
166	366	1829
167	367	1820
168	368	1811
169	369	1803
170	370	1795
171	371	1788
172	372	1782
173	373	1774
174	374	1766
175	375	1758
176	376	1751
177	377	1743
178	378	1735
179	379	1728
180	380	1721
181	381	1713
182	382	1706
183	383	1699
184	384	1691
185	384	1684
186	386	1678
187	387	1672
188	388	1665
189	389	1659
190	390	1652
191	391	1645
192	392	1639
193	392	1632
194	393	1626
195	394	1619
196	395	1612
197	396	1606
198	397	1600
199	398	1594
200	399	1588
201	400	1583
202	402	1578
203	403	1572
204	403	1566
205	404	1561
206	405	1554
207	406	1548
208	407	1542
209	408	1537
210	409	1531
211	410	1525
212	411	1519
213	412	1514
214	413	1508
215	414	1503
216	416	1501
217	417	1496
218	418	1491
219	419	1486
220	420	1481
221	421	1476
222	422	1472
223	423	1466
224	424	1462
225	425	1456
226	426	1451
227	427	1446
228	428	1441
229	429	1437
230	430	1434
231	431	1429
232	432	1424
233	433	1419
234	434	1415
235	435	1410
236	436	1405
237	437	1400
238	438	1395
239	439	1391
240	440	1386
241	441	1381
242	442	1377
243	443	1375
244	446	1375
245	447	1370
246	448	1366
247	449	1362
248	450	1359
249	452	1356
250	453	1353
251	454	1350
252	455	1346
253	456	1341
254	457	1337
255	459	1334
256	461	1333
257	462	1329
258	463	1324
259	464	1320
260	465	1317
261	466	1313
262	467	1309
263	468	1305
264	469	1301
265	470	1298
266	472	1295
267	474	1296
268	476	1293
269	477	1291
270	479	1289
271	480	1286
272	482	1283
273	483	1280
274	486	1282
275	490	1285
276	491	1283
277	492	1280
278	494	1276
279	495	1274
280	496	1271
281	498	1268
282	499	1266
283	501	1265
284	504	1266
285	506	1263
286	507	1261
287	509	1260
288	511	1257
289	513	1256
290	514	1254
291	516	1251
292	517	1248
293	520	1250
294	522	1248
295	523	1245
296	524	1242
297	526	1240
298	527	1237
299	529	1234
300	530	1231
301	531	1228
302	532	1225
303	534	1224
304	536	1222
305	537	1219
306	538	1216
307	540	1213
308	541	1210
309	542	1207
310	543	1204
311	544	1201
312	545	1198
313	547	1195
314	548	1193
315	550	1192
316	552	1189
317	553	1187
318	554	1184
319	555	1181
320	557	1178
321	558	1175
322	559	1172
323	560	1169
324	561	1166
325	564	1167
326	566	1165
327	567	1163
328	569	1160
329	570	1158
330	571	1155
331	572	1152
332	573	1149
333	575	1147
334	576	1144
335	578	1143
336	579	1140
337	580	1137
338	582	1136
339	583	1133
340	585	1130
341	586	1127
342	587	1124
343	588	1122
344	589	1120
345	592	1119
346	594	1117
347	595	1115
348	596	1112
349	597	1110
350	599	1107
351	600	1105
352	601	1102
353	602	1099
354	603	1097
355	605	1094
356	607	1094
357	609	1092
358	610	1090
359	612	1088
360	613	1085
361	614	1083
362	615	1080
363	617	1078
364	618	1075
365	619	1072
366	620	1070
367	622	1068
368	623	1066
369	624	1063
370	625	1061
371	626	1058
372	628	1055
373	629	1053
374	630	1050
375	631	1048
376	632	1045
377	634	1043
378	635	1041
379	636	1039
380	638	1036
381	639	1035
382	641	1032
383	642	1030
384	643	1028
385	645	1026
386	646	1023
387	647	1021
388	648	1018
389	649	1016
390	651	1014
391	652	1012
392	653	1010
393	655	1007
394	656	1005
395	657	1002
396	658	1000
397	659	997
398	660	995
399	661	992
400	662	990
401	664	988
402	665	986
403	666	983
404	668	981
405	669	979
406	670	976
407	671	973
408	672	971
409	673	969
410	674	966
411	675	964
412	676	962
413	677	959
414	679	957
415	680	955
416	681	953
417	683	951
418	684	949
419	685	946
420	686	944
421	687	941
422	688	939
423	689	937
424	690	934
425	691	932
426	693	930
427	694	928
428	696	926
429	697	924
430	698	922
431	700	920
432	701	918
433	702	915
434	703	913
435	704	911
436	706	909
437	707	907
438	708	905
439	710	904
440	711	902
441	712	899
442	713	897
443	715	895
444	716	893
445	717	891
446	718	889
447	719	886
448	720	884
449	722	882
450	723	880
451	724	877
452	725	876
453	726	874
454	727	871
455	729	869
456	730	867
457	731	865
458	732	863
459	733	861
460	734	859
461	736	857
462	737	855
463	738	853
464	740	851
465	741	850
466	743	848
467	744	846
468	745	844
469	746	841
470	747	839
471	748	837
472	750	835
473	751	833
474	752	831
475	753	829
476	755	828
477	756	826
478	757	824
479	759	822
480	760	820
481	761	818
482	762	816
483	763	814
484	764	812
485	766	810
486	767	808
487	768	806
488	769	804
489	771	803
490	772	801
491	773	799
492	774	796
493	776	794
494	777	792
495	778	791
496	779	789
497	781	787
498	782	785
499	783	783
500	785	781
501	786	780
502	787	778
503	788	776
504	790	775
505	791	773
506	792	771
507	794	769
508	795	767
509	796	765
510	797	763
511	799	762
512	801	760
513	802	759
514	804	757
515	805	755
516	806	753
517	807	751
518	808	749
519	809	747
520	810	745
521	811	743
522	813	741
523	814	740
524	816	738
525	817	736
526	818	734
527	819	732
528	820	730
529	821	728
530	822	726
531	823	724
532	825	722
533	826	721
534	827	719
535	829	718
536	831	716
537	832	714
538	833	713
539	834	711
540	836	709
541	837	707
542	838	705
543	839	703
544	840	701
545	841	699
546	842	697
547	844	696
548	845	694
549	846	692
550	848	691
551	849	689
552	850	687
553	851	685
554	852	683
555	854	682
556	855	680
557	856	678
558	857	676
559	859	675
560	861	673
561	862	672
562	863	670
563	864	668
564	865	666
565	866	664
566	867	662
567	868	660
568	869	658
569	870	656
570	871	654
571	872	653
572	875	652
573	876	650
574	877	648
575	878	646
576	879	644
577	880	642
578	881	641
579	883	639
580	884	637
581	885	636
582	886	634
583	888	632
584	890	631
585	891	629
586	892	628
587	894	626
588	895	624
589	896	623
590	897	621
591	898	619
592	900	617
593	901	615
594	902	614
595	903	612
596	904	610
597	906	609
598	907	607
599	908	605
600	909	603
601	910	602
602	911	600
603	912	598
604	914	596
605	915	595
606	916	593
607	917	591
608	919	590
609	921	588
610	922	587
611	923	585
612	924	583
613	926	582
614	927	580
615	928	578
616	929	577
617	931	575
618	932	573
619	934	572
620	935	570
621	936	569
622	938	567
623	939	565
624	940	564
625	941	562
626	943	561
627	944	559
628	945	557
629	947	556
630	948	554
631	950	553
632	951	551
633	952	549
634	953	548
635	954	546
636	955	544
637	957	543
638	958	541
639	959	539
640	960	537
641	961	536
642	962	534
643	963	532
644	965	531
645	965	529
646	966	527
647	968	525
648	969	524
649	970	522
650	971	521
651	973	519
652	974	517
653	975	516
654	977	514
655	978	513
656	979	511
657	981	509
658	982	508
659	983	506
660	984	505
661	986	503
662	987	501
663	988	500
664	989	498
665	990	496
666	992	495
667	993	493
668	994	492
669	995	490
670	996	488
671	997	487
672	999	485
673	1000	483
674	1002	482
675	1003	480
676	1004	479
677	1005	477
678	1007	476
679	1008	474
680	1009	472
681	1010	471
682	1011	469
683	1012	467
684	1013	466
685	1014	464
686	1015	462
687	1017	461
688	1018	459
689	1019	458
690	1021	456
691	1023	455
692	1024	453
693	1025	452
694	1026	450
695	1027	448
696	1028	447
697	1029	445
698	1030	443
699	1031	442
700	1032	440
701	1033	438
702	1034	437
703	1035	435
704	1037	434
705	1038	432
706	1039	430
707	1040	429
708	1041	427
709	1042	425
710	1043	424
711	1044	422
712	1045	420
713	1046	419
714	1047	417
715	1048	415
716	1049	414
717	1051	413
718	1053	411
719	1055	410
720	1056	408
721	1057	407
722	1058	405
723	1059	403
724	1060	402
725	1061	400
726	1062	399
727	1063	397
728	1064	395
729	1066	394
730	1067	392
731	1068	391
732	1069	389
733	1070	387
734	1071	386
735	1072	384
736	1073	383
737	1074	381
738	1075	379
739	1076	378
740	1077	376
741	1078	375
742	1079	373
743	1080	371
744	1082	370
745	1083	368
746	1084	367
747	1085	365
748	1087	364
749	1088	362
750	1088	361
751	1089	359
752	1090	357
753	1091	356
754	1092	354
755	1093	352
756	1094	351
757	1095	349
758	1096	348
759	1097	346
760	1099	345
761	1100	343
762	1101	342
763	1101	340
764	1102	338
765	1103	337
766	1104	335
767	1105	333
768	1106	332
769	1107	330
770	1108	329
771	1109	327
772	1111	326
773	1112	324
774	1113	323
775	1114	321
776	1115	320
777	1116	318
778	1117	316
779	1118	315
780	1118	313
781	1119	312
782	1120	310
783	1121	309
784	1122	307
785	1123	306
786	1125	304
787	1126	303
788	1127	301
789	1128	299
790	1129	298
791	1130	296
792	1132	295
793	1133	294
794	1134	292
795	1135	291
796	1137	289
797	1138	288
798	1139	286
799	1141	285
800	1142	283
801	1143	282
802	1144	280
803	1145	279
804	1147	277
805	1148	276
806	1149	274
807	1150	273
808	1151	271
809	1152	270
810	1154	269
811	1155	267
812	1157	266
813	1158	264
814	1159	263
815	1160	261
816	1161	260
817	1163	258
818	1164	257
819	1165	255
820	1166	254
821	1167	252
822	1170	251
823	1171	250
824	1173	248
825	1174	247
826	1176	246
827	1177	244
828	1179	243
829	1180	241
830	1181	240
831	1182	238
832	1184	237
833	1186	236
834	1187	234
835	1188	233
836	1189	231
837	1190	230
838	1192	228
839	1193	227
840	1194	225
841	1195	224
842	1196	222
843	1198	221
844	1200	220
845	1201	218
846	1202	217
847	1203	215
848	1204	214
849	1205	212
850	1206	211
851	1208	209
852	1209	208
853	1210	206
854	1211	205
855	1212	203
856	1213	202
857	1215	201
858	1216	199
859	1217	198
860	1219	196
861	1220	195
862	1221	193
863	1222	192
864	1223	190
865	1224	189
866	1225	188
867	1227	186
868	1228	185
869	1230	183
870	1231	182
871	1232	180
872	1233	179
873	1235	178
874	1236	176
875	1237	175
876	1238	173
877	1239	172
878	1240	170
879	1242	169
880	1244	168
881	1245	166
882	1246	165
883	1247	163
884	1248	162
885	1250	160
886	1251	159
887	1252	157
888	1253	156
889	1254	155
890	1255	153
891	1256	152
892	1258	150
893	1260	149
894	1261	148
895	1262	146
896	1264	145
897	1265	143
898	1266	142
899	1267	140
900	1268	139
901	1269	137
902	1270	136
903	1272	135
904	1273	133
905	1275	132
906	1276	130
907	1277	129
908	1278	128
909	1280	126
910	1281	125
911	1282	123
912	1283	122
913	1285	120
914	1286	119
915	1287	118
916	1289	116
917	1290	115
918	1291	113
919	1292	112
920	1293	110
921	1295	109
922	1296	108
923	1297	106
924	1298	105
925	1299	103
926	1300	102
927	1302	101
928	1304	99
929	1306	98
930	1307	96
931	1308	95
932	1309	94
933	1310	92
934	1312	91
935	1313	89
936	1315	88
937	1316	87
938	1319	85
939	1321	84
940	1322	82
941	1324	81
942	1325	80
943	1326	78
944	1327	77
945	1329	75
946	1330	74
947	1332	73
948	1333	71
949	1335	70
950	1336	68
951	1337	67
952	1339	66
953	1340	64
954	1341	63
955	1342	61
956	1343	60
957	1345	58
958	1346	57
959	1348	56
960	1349	54
961	1350	53
962	1352	51
963	1353	50
964	1355	49
965	1356	47
966	1357	46
967	1358	44
968	1359	43
969	1360	42
970	1361	40
971	1363	39
972	1364	37
973	1366	36
974	1367	35
975	1368	33
976	1370	32
977	1371	30
978	1372	29
979	1373	28
980	1374	26
981	1375	25
982	1377	23
983	1379	22
984	1380	21
985	1381	19
986	1382	18
987	1383	16
988	1384	15
989	1386	14
990	1387	12
991	1388	11
992	1389	9
993	1390	8
994	1392	6
995	1394	5
996	1395	4
997	1396	2
998	1398	1
999	1399	0
